"month","year","treatment","species","wgt","period","energy","decade"
8,1977,"control","PF",9,2,29.5661072852007,1970
8,1977,"control","PF",8,2,27.0663539374619,1970
8,1977,"control","DM",40,2,90.5018089336904,1970
8,1977,"control","DM",29,2,71.1067394489141,1970
8,1977,"control","DM",46,2,100.503373641219,1970
8,1977,"control","PF",8,2,27.0663539374619,1970
8,1977,"control","DM",41,2,92.1934694843704,1970
8,1977,"control","PF",9,2,29.5661072852007,1970
8,1977,"control","DM",40,2,90.5018089336904,1970
8,1977,"control","DM",46,2,100.503373641219,1970
8,1977,"control","PF",8,2,27.0663539374619,1970
8,1977,"control","DM",37,2,85.3617990345562,1970
8,1977,"control","DM",39,2,88.7995411482622,1970
8,1977,"control","DM",34,2,80.1164051605652,1970
8,1977,"control","DM",48,2,103.763161232581,1970
8,1977,"control","DM",36,2,83.6255798186177,1970
8,1977,"control","DM",35,2,81.8772598057385,1970
8,1977,"control","DM",42,2,93.8748452722046,1970
8,1977,"control","DO",52,2,110.18304597148,1970
8,1977,"control","PF",7,2,24.4870121320489,1970
8,1977,"control","DM",22,2,57.8001914615828,1970
8,1977,"control","DM",45,2,98.8602380143538,1970
8,1977,"control","DM",42,2,93.8748452722046,1970
8,1977,"control","PP",15,2,43.3691300549964,1970
8,1977,"control","DM",41,2,92.1934694843704,1970
8,1977,"control","DM",31,2,74.7538451814357,1970
8,1977,"control","DM",40,2,90.5018089336904,1970
8,1977,"control","DM",40,2,90.5018089336904,1970
8,1977,"control","DM",45,2,98.8602380143538,1970
8,1977,"control","DM",29,2,71.1067394489141,1970
8,1977,"control","DM",42,2,93.8748452722046,1970
8,1977,"control","DM",43,2,95.5462415403459,1970
8,1977,"control","DM",41,2,92.1934694843704,1970
8,1977,"control","DM",30,2,72.9378919918372,1970
8,1977,"control","DM",43,2,95.5462415403459,1970
8,1977,"control","DM",39,2,88.7995411482622,1970
8,1977,"control","DM",41,2,92.1934694843704,1970
8,1977,"control","DM",46,2,100.503373641219,1970
8,1977,"control","DM",40,2,90.5018089336904,1970
8,1977,"control","DM",42,2,93.8748452722046,1970
9,1977,"control","PF",4,3,16.0937503398058,1970
9,1977,"control","DM",51,3,108.590016337657,1970
9,1977,"control","DM",44,3,97.2079476020466,1970
9,1977,"control","PE",19,3,51.7818386467049,1970
9,1977,"control","PP",15,3,43.3691300549964,1970
9,1977,"control","DM",45,3,98.8602380143538,1970
9,1977,"control","DM",39,3,88.7995411482622,1970
9,1977,"control","PF",9,3,29.5661072852007,1970
9,1977,"control","DM",42,3,93.8748452722046,1970
9,1977,"control","DM",46,3,100.503373641219,1970
9,1977,"control","DM",45,3,98.8602380143538,1970
9,1977,"control","DM",42,3,93.8748452722046,1970
9,1977,"control","DM",36,3,83.6255798186177,1970
9,1977,"control","DM",34,3,80.1164051605652,1970
9,1977,"control","PF",7,3,24.4870121320489,1970
9,1977,"control","DM",50,3,106.989157998308,1970
9,1977,"control","DM",45,3,98.8602380143538,1970
9,1977,"control","DM",29,3,71.1067394489141,1970
9,1977,"control","DM",46,3,100.503373641219,1970
9,1977,"control","DM",53,3,111.768434661472,1970
9,1977,"control","PP",16,3,45.52,1970
9,1977,"control","DM",44,3,97.2079476020466,1970
9,1977,"control","DM",40,3,90.5018089336904,1970
9,1977,"control","DM",34,3,80.1164051605652,1970
9,1977,"control","DM",44,3,97.2079476020466,1970
9,1977,"control","DM",48,3,103.763161232581,1970
9,1977,"control","DM",44,3,97.2079476020466,1970
9,1977,"control","DM",45,3,98.8602380143538,1970
9,1977,"control","DM",51,3,108.590016337657,1970
9,1977,"control","DM",45,3,98.8602380143538,1970
9,1977,"control","DM",49,3,105.380274719703,1970
9,1977,"control","DM",46,3,100.503373641219,1970
9,1977,"control","DM",41,3,92.1934694843704,1970
9,1977,"control","DM",46,3,100.503373641219,1970
9,1977,"control","DM",37,3,85.3617990345562,1970
9,1977,"control","DM",48,3,103.763161232581,1970
9,1977,"control","DM",42,3,93.8748452722046,1970
9,1977,"control","DM",44,3,97.2079476020466,1970
9,1977,"control","DM",40,3,90.5018089336904,1970
9,1977,"control","DM",35,3,81.8772598057385,1970
9,1977,"control","DM",37,3,85.3617990345562,1970
9,1977,"control","DM",41,3,92.1934694843704,1970
9,1977,"control","DM",33,3,78.3425532205783,1970
9,1977,"control","DM",48,3,103.763161232581,1970
9,1977,"control","DM",36,3,83.6255798186177,1970
9,1977,"control","PF",8,3,27.0663539374619,1970
10,1977,"control","DM",40,4,90.5018089336904,1970
10,1977,"control","DM",38,4,87.0863249865208,1970
10,1977,"control","DM",53,4,111.768434661472,1970
10,1977,"control","DM",39,4,88.7995411482622,1970
10,1977,"control","DM",49,4,105.380274719703,1970
10,1977,"control","DM",47,4,102.137602618615,1970
10,1977,"control","DM",41,4,92.1934694843704,1970
10,1977,"control","DM",55,4,114.91700096632,1970
10,1977,"exclosure","DO",33,4,78.3425532205783,1970
10,1977,"exclosure","DO",50,4,106.989157998308,1970
10,1977,"exclosure","DM",31,4,74.7538451814357,1970
10,1977,"exclosure","DM",39,4,88.7995411482622,1970
10,1977,"control","DM",42,4,93.8748452722046,1970
10,1977,"control","DM",43,4,95.5462415403459,1970
10,1977,"control","DM",45,4,98.8602380143538,1970
10,1977,"control","DM",44,4,97.2079476020466,1970
10,1977,"control","DM",41,4,92.1934694843704,1970
10,1977,"control","DM",45,4,98.8602380143538,1970
10,1977,"control","DM",46,4,100.503373641219,1970
10,1977,"control","DM",36,4,83.6255798186177,1970
10,1977,"control","DO",41,4,92.1934694843704,1970
10,1977,"control","DM",49,4,105.380274719703,1970
10,1977,"control","DM",44,4,97.2079476020466,1970
10,1977,"control","DM",41,4,92.1934694843704,1970
10,1977,"control","DM",42,4,93.8748452722046,1970
10,1977,"control","PF",8,4,27.0663539374619,1970
10,1977,"control","DM",40,4,90.5018089336904,1970
10,1977,"control","DM",41,4,92.1934694843704,1970
10,1977,"control","DM",39,4,88.7995411482622,1970
10,1977,"control","DM",47,4,102.137602618615,1970
10,1977,"control","DM",42,4,93.8748452722046,1970
10,1977,"control","DM",44,4,97.2079476020466,1970
10,1977,"control","DM",47,4,102.137602618615,1970
